image_file,lat,lon,ele,time, 
frame_00000000.jpg,42.724029683973,-72.4610887167083,82.1125080054626,2024-08-15 12:38:46, 
frame_00000001.jpg,42.724029683973,-72.4610887167083,82.1125080054626,2024-08-15 12:38:47, 
frame_00000002.jpg,42.724029683973,-72.4610887167083,82.1125080054626,2024-08-15 12:38:48, 
frame_00000003.jpg,42.724029683973,-72.4610887167083,82.1125080054626,2024-08-15 12:38:49, 
frame_00000004.jpg,42.724029683973,-72.4610887167083,82.1125080054626,2024-08-15 12:38:50, 
frame_00000005.jpg,42.7240301642735,-72.4611022188037,83.2162388060242,2024-08-15 12:38:51, 
frame_00000006.jpg,42.7240300135469,-72.4611022184273,83.2373664099723,2024-08-15 12:38:52, 
frame_00000007.jpg,42.7240300135469,-72.4611022184273,83.2373664099723,2024-08-15 12:38:53, 
frame_00000008.jpg,42.7240300135469,-72.4611022184273,83.2373664099723,2024-08-15 12:38:54, 
frame_00000009.jpg,42.7240300135469,-72.4611022184273,83.2373664099723,2024-08-15 12:38:55, 
frame_00000010.jpg,42.7240159872365,-72.4610978015484,83.9744162932038,2024-08-15 12:38:56, 
frame_00000011.jpg,42.7239931257239,-72.4610947417543,84.0084300907329,2024-08-15 12:38:57, 
frame_00000012.jpg,42.7239236818564,-72.4610970486486,83.5212425235659,2024-08-15 12:38:58, 
frame_00000013.jpg,42.7238872744997,-72.4611026064851,83.5772602073848,2024-08-15 12:38:59, 
frame_00000014.jpg,42.723852331004,-72.4610948158544,83.6251197997481,2024-08-15 12:39:00, 
frame_00000015.jpg,42.7238062267428,-72.4610945149908,83.7352700065821,2024-08-15 12:39:01, 
frame_00000016.jpg,42.7237537879424,-72.461098146497,83.1980688180774,2024-08-15 12:39:02, 
frame_00000017.jpg,42.7237070492559,-72.461095754516,82.9777684370056,2024-08-15 12:39:03, 
frame_00000018.jpg,42.7236552762715,-72.4610961363882,83.393045742996,2024-08-15 12:39:04, 
frame_00000019.jpg,42.723608436862,-72.4610990379119,83.3080175267532,2024-08-15 12:39:05, 
frame_00000020.jpg,42.7235542024871,-72.4611060035199,83.4648739369586,2024-08-15 12:39:06, 
frame_00000021.jpg,42.7235062738211,-72.4611030639082,83.1889736531302,2024-08-15 12:39:07, 
frame_00000022.jpg,42.7234554921583,-72.4611078928132,83.1122990930453,2024-08-15 12:39:08, 
frame_00000023.jpg,42.723407453738,-72.4611170552555,83.4917834475636,2024-08-15 12:39:09, 
frame_00000024.jpg,42.7233601077928,-72.4611161327106,83.4624383281916,2024-08-15 12:39:10, 
frame_00000025.jpg,42.7233105684222,-72.4611191580917,83.3593257023022,2024-08-15 12:39:11, 
frame_00000026.jpg,42.7232588207562,-72.4611258376007,83.1928641023114,2024-08-15 12:39:12, 
frame_00000027.jpg,42.7232073604756,-72.461132114585,83.2566430969164,2024-08-15 12:39:13, 
frame_00000028.jpg,42.723158523456,-72.4611322783584,83.0548564214259,2024-08-15 12:39:14, 
frame_00000029.jpg,42.7231104514844,-72.4611397641602,83.1449894513935,2024-08-15 12:39:15, 
frame_00000030.jpg,42.7230542063668,-72.4611482060865,83.4773440286517,2024-08-15 12:39:16, 
frame_00000031.jpg,42.7230083115114,-72.4611520709189,83.6931791510433,2024-08-15 12:39:17, 
frame_00000032.jpg,42.7229550056017,-72.4611619974465,83.5368309486657,2024-08-15 12:39:18, 
frame_00000033.jpg,42.7229018869601,-72.4611700305791,83.6204245807603,2024-08-15 12:39:19, 
frame_00000034.jpg,42.7228538197125,-72.4611807236877,82.9941664263606,2024-08-15 12:39:20, 
frame_00000035.jpg,42.7227995788948,-72.4611952586881,82.9752910332754,2024-08-15 12:39:21, 
frame_00000036.jpg,42.7227423544707,-72.4612036307026,83.1438445691019,2024-08-15 12:39:22, 
frame_00000037.jpg,42.7226839549386,-72.4612175296617,83.0948636801913,2024-08-15 12:39:23, 
frame_00000038.jpg,42.7226234264711,-72.4612331548039,82.8342596525326,2024-08-15 12:39:24, 
frame_00000039.jpg,42.7225663053245,-72.4612412244538,83.077375668101,2024-08-15 12:39:25, 
frame_00000040.jpg,42.7225031818198,-72.4612569845489,82.8556737890467,2024-08-15 12:39:26, 
frame_00000041.jpg,42.7224433403656,-72.4612783518803,82.3608227241784,2024-08-15 12:39:27, 
frame_00000042.jpg,42.722375951544,-72.4613057741954,81.5831542313099,2024-08-15 12:39:28, 
